index,Question,Segment Type,Segment Description,Answer,Count,Percentage,Count_log,Facebook,Instagram,Snapchat,Twitter,nan,Count_standardized,Percentage_standardized
112,What social platform has influenced your online shopping most?,University,Carthage College,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
113,What social platform has influenced your online shopping most?,University,Carthage College,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
114,What social platform has influenced your online shopping most?,University,Carthage College,nan,1,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,2.8978644388705295
115,What social platform has influenced your online shopping most?,University,University of South Carolina,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
116,What social platform has influenced your online shopping most?,University,University of South Carolina,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
117,What social platform has influenced your online shopping most?,University,University of South Carolina,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
118,What social platform has influenced your online shopping most?,University,University of South Carolina,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
119,What social platform has influenced your online shopping most?,University,University of South Carolina,nan,4,1.0,1.6094379124341003,0.0,0.0,0.0,0.0,1.0,-0.3579541123289209,2.8978644388705295
120,What social platform has influenced your online shopping most?,University,Wesleyan University,Facebook,1,1.0,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,-0.41638912033078446,2.8978644388705295
121,What social platform has influenced your online shopping most?,University,Wesleyan University,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
122,What social platform has influenced your online shopping most?,University,Wesleyan University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
